name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"København, Hovedstaden, Danmark",2014-11-25,9,3.7,5.9,8.5,1.1,4.1,4.7,92.28,0.01,,4.17,,,,28,13,272.3,1024.9,25.9,11,,,,,2014-11-25T08:03:54,2014-11-25T15:48:58,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-11-26,7,4.2,6.4,6.7,4.2,5.3,4,84.62,0,,0,,,,15.6,13.4,146,1025,83.6,12,,,,,2014-11-26T08:05:44,2014-11-26T15:47:47,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-11-27,7.8,4.9,6,4.3,0.6,2.3,2.5,78.27,0,,0,,,,26.6,28.3,120.9,1020.4,51.3,13.1,,,,,2014-11-27T08:07:31,2014-11-27T15:46:39,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-11-28,5.7,3.1,4.5,2.4,-2.2,-0.1,0.4,74.86,0.01,,4.17,,,,42.1,31.1,102,1024,65.7,12.4,,,,,2014-11-28T08:09:17,2014-11-28T15:45:34,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-11-29,4.1,2.1,3.4,-0.8,-3.4,-1.8,-1.6,70.1,0,,0,,,,40.7,33.7,112,1025.9,78.9,13.5,,,,,2014-11-29T08:11:01,2014-11-29T15:44:33,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-11-30,4,2.1,3.1,-0.8,-4.2,-2.6,-0.9,75.28,0,,0,,,,42.2,39.1,118.6,1023,58.7,13.5,,,,,2014-11-30T08:12:43,2014-11-30T15:43:35,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-01,3,1.2,2.4,-2,-4.6,-3,-1.3,76.72,0,,0,,,,43.9,30.7,103.6,1023.5,58.3,16.3,,,,,2014-12-01T08:14:23,2014-12-01T15:42:41,0.36,Partially cloudy,Partly cloudy throughout the day.,wind,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-02,2.8,1.9,2,-0.6,-3.3,-2.2,-0.8,81.18,0,,0,,,,34.8,24.4,109.6,1020.4,84.4,10.1,,,,,2014-12-02T08:16:00,2014-12-02T15:41:51,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-03,2.8,1.4,2.3,2.8,-1.1,0.5,-0.8,79.62,0,,0,,,,14.1,11.6,49.6,1024.4,90,10.8,,,,,2014-12-03T08:17:35,2014-12-03T15:41:04,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-04,5.1,2.8,3.9,1.8,0.2,0.9,1.2,82.39,0.15,,4.17,,,,32.4,28.3,100.3,1023.8,87,10.7,,,,,2014-12-04T08:19:07,2014-12-04T15:40:21,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-05,5.9,3.9,4.6,1.8,0,0.9,3.3,91.35,5.95,,50,,,,35.2,28.5,173.6,1016.6,84.2,6.1,,,,,2014-12-05T08:20:37,2014-12-05T15:39:41,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-06,6.9,0.5,4.1,4.1,-2.7,0.7,3,92.53,0.9,,41.67,,,,28.1,23,252.3,1017.6,54.1,9.8,,,,,2014-12-06T08:22:04,2014-12-06T15:39:06,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-07,5,0.5,3.9,1.4,-2.9,-0.6,2.7,91.91,5.79,,45.83,,,,37.7,35.7,216.4,1012.8,63.4,10.2,,,,,2014-12-07T08:23:28,2014-12-07T15:38:34,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-08,5.1,3,4.4,2.2,-0.9,0.9,2.8,89.65,0.63,,20.83,,,,33.4,25.2,243.9,1009.6,63.1,13,,,,,2014-12-08T08:24:49,2014-12-08T15:38:06,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-09,4.8,2.3,3.7,0.8,-2.2,-0.2,2.4,91.13,0.07,,4.17,,,,37.3,28.5,232.3,1020.4,77.4,11.4,,,,,2014-12-09T08:26:07,2014-12-09T15:37:43,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-10,5.8,2.9,4.3,1.4,-3.8,-1.2,2.4,87.38,2.58,,33.33,,,,51.2,45.8,208.8,1006.6,60.5,11.2,,,,,2014-12-10T08:27:22,2014-12-10T15:37:23,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-11,5,3,4.1,0.1,-2.3,-1,2.3,88.15,3.64,,45.83,,,,50,34,219,997.5,76.3,13.9,,,,,2014-12-11T08:28:34,2014-12-11T15:37:08,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-12,7.9,3,4.7,3.1,-2.7,-0.4,2.8,87.63,12.87,,41.67,,,,64.6,48.9,219.5,989.9,73.5,13.7,,,,,2014-12-12T08:29:42,2014-12-12T15:36:56,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-13,6.9,3,4.9,2.5,-2.2,0.2,2.3,83.34,0.53,,20.83,,,,60.1,37.4,249.5,999.2,41.1,14,,,,,2014-12-13T08:30:47,2014-12-13T15:36:49,0.71,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-14,3.9,2.8,3.4,-0.3,-1.9,-1.2,1.6,88.03,0.22,,12.5,,,,35.1,27.9,221.3,1010.7,42.7,12.7,,,,,2014-12-14T08:31:48,2014-12-14T15:36:46,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-15,5.8,3,4.4,1.8,-2.6,-0.6,2.7,88.64,2.16,,33.33,,,,40.6,35.6,220,1005,71.9,10.7,,,,,2014-12-15T08:32:45,2014-12-15T15:36:47,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-16,5.1,3,4.1,0.8,-1.4,-0.2,2.7,91.23,1.09,,20.83,,,,36.6,28.1,230.6,1003.6,50.2,12.7,,,,,2014-12-16T08:33:39,2014-12-16T15:36:52,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-17,5.1,3.2,4.1,1.9,-1,0.1,2.5,89.59,0.42,,29.17,,,,40.5,33.7,230.7,1001.6,72.5,10.6,,,,,2014-12-17T08:34:29,2014-12-17T15:37:02,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-18,9.2,3.9,7,5.8,0.8,3.7,6.5,96.85,10.69,,45.83,,,,39.9,32.4,227.4,1000,82.5,6.2,,,,,2014-12-18T08:35:15,2014-12-18T15:37:15,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-19,10.8,4.2,7.7,10.8,-0.2,4.1,5.4,85.56,1.15,,50,,,,53.7,35.5,252.5,998.2,69.1,10.5,,,,,2014-12-19T08:35:58,2014-12-19T15:37:33,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-20,5.8,1.2,4,1.1,-3.8,-1.2,1.7,85.25,10.82,,62.5,,,,54.5,38.2,265.5,999.8,60.3,12.3,,,,,2014-12-20T08:36:36,2014-12-20T15:37:55,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-21,7,3.2,5.2,2.8,-1.5,1.1,3.4,88.19,4.5,,41.67,,,,40.5,29.1,262,1011.4,49,12.4,,,,,2014-12-21T08:37:10,2014-12-21T15:38:22,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-22,9.8,7.1,8.3,6.8,2.9,4.8,7,91.32,13.2,,75,,,,43.8,31.7,259.9,999.6,79.3,11.1,,,,,2014-12-22T08:37:41,2014-12-22T15:38:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-23,8,5.2,6.9,4.6,2.1,3.5,5.1,88.34,0.43,,20.83,,,,38.2,27.8,257.3,1002.6,66.2,11.7,,,,,2014-12-23T08:38:07,2014-12-23T15:39:26,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-24,6.1,4.2,5.5,6.1,-0.3,2.8,4.5,93.6,15.09,,62.5,,,,42.1,29.2,248.7,1002,66.1,10.2,,,,,2014-12-24T08:38:29,2014-12-24T15:40:05,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-25,5,-4.6,0.2,2.9,-8.8,-4.9,-1.8,86.69,4.63,,54.17,,,,33.9,30.4,108.3,1013.7,52.8,17.6,,,,,2014-12-25T08:38:47,2014-12-25T15:40:48,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-26,-0.4,-8.3,-4,-2.1,-11.4,-6.8,-5.9,86.98,0,,0,,,,18.9,14.8,216.4,1024.9,30.5,19.7,,,,,2014-12-26T08:39:01,2014-12-26T15:41:34,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-27,1.7,-0.5,0.3,1.7,-5.5,-2.3,-1.4,88.42,0.16,,20.83,,,,18.9,20.4,187.2,1015,77.4,10.4,,,,,2014-12-27T08:39:11,2014-12-27T15:42:25,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,06188099999,02635099999"
"København, Hovedstaden, Danmark",2014-12-28,-1.2,-6.3,-3,-3.4,-9.9,-6.8,-6.3,78.69,1.96,,20.83,,,,15.8,20.1,162.8,1023,24.8,19.7,,,,,2014-12-28T08:39:16,2014-12-28T15:43:19,0.23,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,snow,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-29,0,-7.8,-3.7,-4.1,-12.8,-7.8,-6.4,82.09,0.7,,29.17,,,,15.6,17.4,149.7,1028.5,32.8,20.4,,,,,2014-12-29T08:39:18,2014-12-29T15:44:17,0.29,"Snow, Partially cloudy",Becoming cloudy in the afternoon with rain.,snow,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-30,3.2,0.8,2.1,1.1,-3.5,-1.1,1.2,93.93,0.37,,16.67,,,,22.8,16.4,235.4,1026.3,80.5,7.6,,,,,2014-12-30T08:39:15,2014-12-30T15:45:19,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
"København, Hovedstaden, Danmark",2014-12-31,7.8,3.1,5.2,4.9,-0.8,2.4,4.6,95.55,0.99,,25,,,,28.3,21.9,269.7,1025.3,71.3,6.1,,,,,2014-12-31T08:39:08,2014-12-31T15:46:24,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,02615099999,06174099999,06170099999,02635099999,06188099999"
